Season,Time_day,Price,Heat_demand
0,0,36.56,34.54
0,0,34.94,35.54
0,0,32.19,36.45
0,0,28.05,39.43
0,0,28.04,44.54
0,0,34.26,58.44
0,1,37.8,69.09
0,1,50.38,67.54
0,1,50.97,67.06
0,2,41.51,64.71
0,2,40.46,61.79
0,2,42.0,59.0
0,2,40.72,57.21
0,2,41.92,57.05
0,2,42.0,57.24
0,2,43.1,57.97
0,2,46.7,59.94
0,2,56.78,61.67
0,3,58.84,61.81
0,3,49.23,60.74
0,3,44.32,57.92
0,3,40.0,53.07
0,3,41.78,42.97
0,3,38.6,36.16
0,0,36.9,43.89
0,0,35.04,44.93
0,0,34.5,46.01
0,0,33.47,49.07
0,0,33.97,53.96
0,0,36.02,69.4
0,1,39.96,82.08
0,1,42.66,80.42
0,1,44.94,81.59
0,2,50.87,77.94
0,2,50.86,74.44
0,2,50.17,71.65
0,2,47.97,69.71
0,2,45.2,68.57
0,2,41.45,69.24
0,2,40.08,70.06
0,2,43.62,71.98
0,2,48.55,73.12
0,3,45.71,72.58
0,3,39.94,71.41
0,3,44.94,68.39
0,3,42.51,62.0
0,3,44.0,51.95
0,3,39.94,45.06
0,0,36.11,41.78
0,0,34.31,42.78
0,0,32.55,43.81
0,0,32.08,46.73
0,0,29.48,51.42
0,0,34.94,66.18
0,1,35.78,78.28
0,1,45.98,76.67
0,1,47.91,77.78
0,2,48.91,74.32
0,2,50.0,70.98
0,2,51.22,68.31
0,2,50.15,66.46
0,2,51.46,65.41
0,2,50.88,66.06
0,2,48.0,66.86
0,2,47.14,68.74
0,2,51.07,69.83
0,3,47.42,69.31
0,3,44.83,68.18
0,3,39.1,65.31
0,3,42.0,59.2
0,3,37.92,49.53
0,3,33.51,42.92
0,0,33.11,42.67
0,0,32.32,43.7
0,0,31.1,44.75
0,0,30.17,47.73
0,0,24.54,52.51
0,0,32.0,67.57
0,1,38.81,79.92
0,1,42.44,78.3
0,1,45.55,79.43
0,2,48.75,75.89
0,2,49.29,72.47
0,2,49.33,69.75
0,2,48.43,67.85
0,2,47.21,66.77
0,2,51.4,67.42
0,2,40.5,68.24
0,2,41.1,70.13
0,2,54.5,71.24
0,3,51.25,70.71
0,3,50.31,69.57
0,3,47.97,66.64
0,3,40.5,60.41
0,3,43.8,50.56
0,3,44.05,43.83
0,0,32.28,46.22
0,0,29.71,46.52
0,0,28.97,47.66
0,0,25.12,50.22
0,0,25.46,54.41
0,0,25.84,69.68
0,1,31.86,86.46
0,1,44.0,83.05
0,1,45.82,83.28
0,2,47.16,79.65
0,2,42.52,76.29
0,2,43.0,73.43
